frame_idx,time_sec,type,track_id,score,bbox,contributors,image_path
416,16.64,loitering,15,43.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 15, ""dwell_seconds"": 15.0, ""bbox"": [509.815192021831, 129.09213274791958, 55.6604432176706, 155.3409927920755], ""center"": [537.6454136306663, 206.76262914395733]}]",data/output/frames/07_frame000416_loitering_track15_20250823_205454_495.jpg
446,17.84,loitering,15,45.25,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 15, ""dwell_seconds"": 16.2, ""bbox"": [386.7408249219917, 134.23245417367488, 63.790994283486896, 157.89137656314884], ""center"": [418.6363220637352, 213.17814245524931]}]",data/output/frames/07_frame000446_multi_unusual_loitering_2alerts_20250823_205456_847.jpg
446,17.84,unusual,,55.83,"[0.0, 0.0, 0.0, 0.0]","[{""z_score"": 2.7899999618530273, ""mean_magnitude"": 0.6399999856948853, ""baseline_mean"": 0.3499999940395355, ""baseline_std"": 0.10999999940395355, ""num_regions"": 6, ""total_area"": 51605.0}]",data/output/frames/07_frame000446_multi_unusual_loitering_2alerts_20250823_205456_847.jpg
476,19.04,loitering,15,46.75,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 15, ""dwell_seconds"": 17.4, ""bbox"": [159.47049627775436, 134.29101430898749, 77.09729942010415, 170.99988133429392], ""center"": [198.01914598780644, 219.79095497613446]}]",data/output/frames/07_frame000476_loitering_track15_20250823_205458_494.jpg
519,20.76,loitering,37,43.8,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 37, ""dwell_seconds"": 15.0, ""bbox"": [543.9705039605582, 99.60475815286668, 41.94523197379721, 182.79351311569388], ""center"": [564.9431199474568, 191.00151471071362]}]",data/output/frames/07_frame000519_loitering_track37_20250823_205500_754.jpg
549,21.96,loitering,37,45.3,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 37, ""dwell_seconds"": 16.2, ""bbox"": [546.4807634193337, 96.64968580158147, 39.30239875230546, 185.88318585007505], ""center"": [566.1319627954864, 189.591278726619]}]",data/output/frames/07_frame000549_loitering_track37_20250823_205502_350.jpg
563,22.52,unusual,,58.88,"[0.0, 0.0, 0.0, 0.0]","[{""z_score"": 2.94, ""mean_magnitude"": 0.5400000214576721, ""baseline_mean"": 0.25, ""baseline_std"": 0.1, ""num_regions"": 5, ""total_area"": 51989.0}]",data/output/frames/07_frame000563_unusual_trackNone_20250823_205503_111.jpg
569,22.76,loitering,44,43.8,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 44, ""dwell_seconds"": 15.0, ""bbox"": [49.55591127191195, 118.24163321960643, 36.63867642535439, 107.84694763743204], ""center"": [67.87524948458915, 172.16510703832245]}]",data/output/frames/07_frame000569_loitering_track44_20250823_205503_438.jpg
579,23.16,loitering,37,46.8,"[0.0, 0.0, 0.0, 0.0]","[{""track_id"": 37, ""dwell_seconds"": 17.4, ""bbox"": [546.0996364301842, 98.64072706228076, 41.42013546240379, 183.67177744137686], ""center"": [566.8097041613861, 190.4766157829692]}]",data/output/frames/07_frame000579_loitering_track37_20250823_205503_976.jpg
601,24.04,unusual,,57.07,"[0.0, 0.0, 0.0, 0.0]","[{""z_score"": 2.8499999046325684, ""mean_magnitude"": 0.9300000071525574, ""baseline_mean"": 0.6200000047683716, ""baseline_std"": 0.10999999940395355, ""num_regions"": 3, ""total_area"": 63020.0}]",data/output/frames/07_frame000601_unusual_trackNone_20250823_205505_162.jpg
